开始时间,结束时间,时间比例,节点类型
6.651,9.787,0.05377926,1
10.962,-1,0.08863506,0
11.901,-1,0.09622467,0
12.776,-1,0.1032968,0
13.714,-1,0.1108864,0
14.589,-1,0.1179585,0
15.464,-1,0.1250307,0
16.338,-1,0.1321028,0
17.192,-1,0.1390024,0
19.858,-1,0.1605638,0
20.712,-1,0.1674634,0
23.357,-1,0.1888523,0
24.189,-1,0.1955794,0
26.01,-1,0.2103028,0
27.781,-1,0.2246196,0
29.545,-1,0.2388831,0
30.426,32.026,0.2460084,1
32.969,-1,0.2665736,0
34.783,-1,0.2812353,0
36.617,-1,0.2960695,0
37.535,38.815,0.3034867,1
40.137,-1,0.3245305,0
41.887,-1,0.3386748,0
43.689,-1,0.3532445,01
44.393,46.099,0.3589368,1
46.782,-1,0.3782558,0
47.657,-1,0.3853278,0
48.531,-1,0.3924,0
49.385,-1,0.3992996,0
50.281,-1,0.4065442,0
51.134,-1,0.4134439,0
51.594,53.236,0.4171614,1
54.754,-1,0.4427128,0
55.629,-1,0.4497849,0
57.762,-1,0.467034,0
58.21,-1,0.4706563,0
59.201,-1,0.4786704,0
59.935,-1,0.4846016,0
61.3,-1,0.495641,0
61.748,-1,0.4992633,0
62.584,-1,0.506021,0
63.48,-1,0.5132656,0
64.866,-1,0.5244775,0
65.272,-1,0.5277548,0
66.21,-1,0.5353444,0
67.064,-1,0.5422441,0
68.344,-1,0.5525935,0
69.266,-1,0.560051,0
69.693,-1,0.5635009,0
70.141,-1,0.5671232,0
70.589,-1,0.5707455,0
71.015,-1,0.5741953,0
71.463,-1,0.5778176,0
71.911,-1,0.5814399,0
72.317,-1,0.5847173,0
72.765,-1,0.5883396,0
73.213,-1,0.5919619,0
73.661,-1,0.5955842,0
74.087,-1,0.599034,0
74.535,-1,0.6026563,0
74.962,-1,0.6061061,0
75.41,-1,0.6097285,0
75.858,-1,0.6133507,0
76.306,-1,0.616973,0
76.754,-1,0.6205953,0
77.159,-1,0.6238727,0
77.607,-1,0.627495,0
78.013,-1,0.6307723,0
78.482,-1,0.6345671,0
78.93,-1,0.6381894,0
79.357,-1,0.6416393,0
79.805,-1,0.6452616,0
80.253,-1,0.6488839,0
80.679,-1,0.6523337,0
81.106,-1,0.6557835,0
81.623,82.86,0.6599602,1
83.841,-1,0.6778993,0
84.695,-1,0.6847989,0
85.591,-1,0.6920435,0
86.401,-1,0.6985981,0
87.767,-1,0.7096376,0
88.641,90.092,0.7167097,1
90.839,-1,0.7344763,0
91.713,-1,0.7415484,0
92.609,-1,0.748793,0
93.463,-1,0.7556927,0
94.807,-1,0.7665596,0
95.703,97.068,0.7738042,1
98.348,-1,0.795193,0
100.097,-1,0.8093373,0
102.366,-1,0.8276837,0
102.831,104.281,0.8314396,1
105.007,-1,0.8490337,0
105.881,-1,0.8561058,0
106.927,-1,0.8645578,0
107.652,-1,0.8704225,0
108.527,-1,0.8774947,0
109.38,-1,0.8843943,0
110.212,-1,0.8911214,0
111.129,-1,0.8985385,0
112.025,-1,0.9057832,0
112.879,-1,0.9126828,0
113.732,-1,0.9195824,0
114.671,-1,0.9271721,0
115.545,-1,0.9342442,0
116.399,-1,0.9411438,0
116.918,122.955,0.9453419,1
